Tweet_count,Username,Text,Created At,Retweets,Likes,Category
48,செந்தூரான் SayYesToWomenSafety & AIADMK,"#யார்_அந்த_sir 
2026 ஜுன் மாதம் தமிழ்நாடு முழுமைக்கும் தெரியும் 

பாலியல் குற்றவாளி 
ஞானசேகரனோடு 
யார் அந்த சார் (அங்கே 🤔)
ஒன்னா உணவருந்தும் நிலை வரும் 
~ பேராசிரியர் கல்யாண சுந்தரம் 🔥 
#GetOutStalin

https://t.co/9vhcX67yK8",Thu Feb 27 10:15:50 +0000 2025,65,217,AIADMK
49,Dr.Ashifshafi - Say Yes To Women Safety & AIADMK,"எது சிறந்த தலைமை!

1.திமுக-தான் அப்பாவால் கட்சியில் தலைவர்

2.த.வெ.க-சினிமாவில் உச்சத்தில் இருக்கும் ஒரு நடிகர்

3.பாஜக-கட்சியில் சேர்ந்த 6 மாதத்தில் மாநில தலைவர்

4.காங்கிரஸ்- மாற்று கட்சியில் வந்தவர் மாநில தலைவர்

அப்போ எந்த கட்சியில் தொண்டர் தலைமைக்கு வருவார் அதிமுகவில்!!! https://t.co/wfKhSPranc",Wed Feb 26 04:13:30 +0000 2025,51,206,AIADMK
50,Malathi A,"மக்கள் மனதில் என்றும் அதிமுக!

2026 ல் #எடப்பாடியார் ஆட்சி!🌱✌️

@EPSTamilNadu 
#ADMK_VPM https://t.co/PDupcnldD7",Wed Feb 26 10:10:45 +0000 2025,67,385,AIADMK
51,தர்சினிSayYesToWomenSafety&AIADMK,"கொத்தடிமை டீ கடைகாரருக்கு வேணா கண்ணு தெரியாம இருக்கலாம், மக்களுக்கு இது யாரென்று மண்ட மேல இருக்கிற கொண்டை சொல்லுதே! https://t.co/wsDcjew8HO",Sun Feb 23 15:00:27 +0000 2025,11,18,AIADMK
52,Malathi A,"2026-ல் வெல்வோம்!  
நல்லாட்சி அமைப்போம் !! 

- எடப்பாடியார்🔥✌️🌱

@EPSTamilNadu 
#ADMK_VPM https://t.co/BCNkELnyDh",Fri Feb 28 03:34:49 +0000 2025,7,39,AIADMK
53,RAJAN KANNA - SayYesToWomenSafety&AIADMK,"தமிழகத்தில் மீண்டும் வரும் ஹைட்ரோ கார்பன் திட்டம்!

தூத்துக்குடி, ராமநாதபுரம் மாவட்ட மன்னார் வடைகுடா கடல் பகுதிகளில் ஹைட்ரோ கார்பன் திட்டத்திற்கு டெண்டர் வெளியிடும் மத்திய அரசு!

அதை வழக்கம் போல் வேடிக்கை பார்க்கும் #பொம்மை_மாடல் விடியா அரசு!

@AIADMKITWINGOFL #ADMK_TVL https://t.co/v3yfHY5whR",Fri Feb 28 03:26:08 +0000 2025,2,3,AIADMK
54,Dr C Vijayabaskar - SayYesToWomenSafety & AIADMK,"ஆசியக் கண்டத்தின் 
தன்னிகரற்ற தலைவி,

அன்றலர்ந்த ஆம்பல் போல் 
அன்பு முகம்,

ஒப்பற்ற #AIADMK இயக்கத்தின் 
உயிர் நாடி,

பகைவரும் அண்ணாந்து நோக்கிய பேராளுமை,

கனிவு கொண்ட 
அனைத்து உயிர்களாலும் கொண்டாடப்பட்ட
#அம்மா

கழகத்தின் கடைக்கோடி தொண்டனின் இதயங்களில் காவியமான 
உயிரோவியத்தின் https://t.co/wAuHaoLZgS",Mon Feb 24 04:35:20 +0000 2025,144,415,AIADMK
55,Navaneethakannan R-Say Yes To Women Safety &AIADMK,"திரு.மோடி  அவர்கள் &amp; திரு.அமித்ஷா அவர்களின்  அரசியல் தந்திரங்கள் முன்னால் தாக்கு பிடிக்க முடியாமல் திணறும் அகில இந்திய கட்சி காங்கிரஸ்.

அங்கிருந்து ஓங்கி ஓர் குரல்,
எடப்பாடியார் மட்டும் இல்லைன்னா அதிமுகவை என்றைக்கோ பிஜேபி விழுங்கிய இருக்கும் என்று !

எடப்பாடியார் 🔥 https://t.co/hECgfWFBY0",Fri Feb 28 01:55:01 +0000 2025,3,11,AIADMK
56,செந்தூரான் SayYesToWomenSafety & AIADMK,"வரிசையா வந்து 
2011 ஞாபகப் படுத்துறானுங்க 😄😀 

#கோழை_ஸ்டாலின் https://t.co/qN2tYWqyuQ",Thu Feb 27 18:13:52 +0000 2025,5,15,AIADMK
57,Dhanabal Arumugam - SayYesToWomenSafety & AIADMK,"தெருவில் கஞ்சா அடிச்சிட்டு அட்டூழியம் செய்து கொண்டிருந்தவர்களைத் தட்டிக்கேட்ட அண்ணாதிமுக பேரூராட்சி செயலாளர் உள்ளிட்ட மூன்று பேரை அரிவாளால் வெட்டியிருக்கிறார்கள் ரவுடிக்கும்பல்

இதை எதிர்த்து அண்ணாதிமுக போராட்டம் அறிவித்தது. போராட்டம் தொடங்குவதற்கு முன்பாகவே, அண்ணாதிமுக https://t.co/v8IR51We3D",Thu Feb 27 13:04:40 +0000 2025,96,188,AIADMK
