Tweet_count,Username,Text,Created At,Retweets,Likes,Category
101,தம்பி வலையொளி,குறுக்கே வந்து விழும் தவெக சீமான் தம்பிகளால் பொளக்கப்படும் விஜய் இடும்பாவனம் கார்த்திக் காணொளி,Thu Feb 13 09:50:31 +0000 2025,141,323,Naam Tamilar Katchi
102,Polimer News,liveseeman press meet நாம் தமிழர் கட்சி ஒருங்கிணைப்பாளர் சீமான் செய்தியாளர் சந்திப்பு,Fri Feb 28 05:36:08 +0000 2025,0,1,Naam Tamilar Katchi
103,தினமணி,கடந்த முறை கிடைத்த வாக்குகளைவிட அதிகமாகவே இந்த முறை பெற்றுள்ளோம் நாதக வேட்பாளர்,Sat Feb 08 10:52:43 +0000 2025,292,924,Naam Tamilar Katchi
104,Spick Media Network,the spick media team extends wishes to naam tamilar katchi leader and party members of,Fri Jan 10 17:20:36 +0000 2025,0,0,Naam Tamilar Katchi
105,The Hindu - Chennai,a security guard working at leader s house in neelangarai near has been arrested after he allegedly stopped police officials who went there to investigate an incident of tearing of a summons,Thu Feb 27 12:42:18 +0000 2025,0,3,Naam Tamilar Katchi
106,Saattai,ஆளும் திமுகவை நேரடியாக சமரசம் இல்லாமல் உறுதியாக அண்ணன் சீமான் எதிர்க்கிறார் என்ற ஒரே காரணத்திற்காக இது போன்ற அட்டூழியங்களில் காவல்துறை ஈடுபடத் தொடங்கி இருக்கிறது வழக்கறிஞர் மணி செந்தில் நாம் தமிழர் கட்சி,Thu Feb 27 11:45:55 +0000 2025,176,249,Naam Tamilar Katchi
107,aniloyko,resignation from naam tamilar katchi sriperumbudur parliamentary secretary ira mahendran has quit ntk after 15 years citing humiliation and neglect in his letter to seeman he stated i can lose anything but not my selfrespect whats your take,Sun Feb 16 16:57:54 +0000 2025,0,0,Naam Tamilar Katchi
108,𝕽𝖔𝖇𝖎𝖓 𝕮𝖍𝖗𝖎𝖘 😈🛡️🗡️,simon nallavan illa kedu kettavan link,Wed Feb 19 17:23:53 +0000 2025,1,4,Naam Tamilar Katchi
109,Tamil The Hindu,நாம் தமிழர் கட்சியில் இருந்து காளியம்மாள் விலகல்,Tue Feb 25 00:53:00 +0000 2025,0,5,Naam Tamilar Katchi
110,DT Next,around 3000 members from various parties including 2000 from naam tamilar katchi have joined dmk at an event held at anna arivalayam in chennai,Fri Jan 24 07:02:58 +0000 2025,0,0,Naam Tamilar Katchi
